Model,Best Params,MAE,MSE,RMSE,R2,Selected Features,Target Variable,Target Transformation
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",61.87272496536046,13587.14814857339,116.5639230146849,0.7439346837570159,"['RIDAGEMN', 'RIDEXPRG', 'RIAGENDR', 'LBDBMNSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'LBDTHGSI', 'RHQ131', 'RHQ160']",LBXTST,
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",28.918489720192053,2121.609644345187,46.06093403682981,0.1706306603809632,"['RIDEXPRG', 'RIDAGEMN', 'LBDBMNSI', 'LBDBSESI', 'LBDBPBSI', 'LBDTHGSI', 'LBDBCDSI', 'RIAGENDR', 'RHQ160', 'RHQ131']",LBXSHBG,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}",58.76934039932871,203153.3620098025,450.7253731595355,-0.8762618108327398,"['RIDEXPRG', 'LBDBSESI', 'LBDBCDSI', 'RIDAGEMN', 'RHQ160', 'LBDBPBSI', 'LBDTHGSI', 'LBDBMNSI', 'RHQ131', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}",58.76934039932871,203153.3620098025,450.7253731595355,-0.8762618108327398,"['RIDEXPRG', 'LBDBSESI', 'LBDBCDSI', 'RIDAGEMN', 'RHQ160', 'LBDBPBSI', 'LBDTHGSI', 'LBDBMNSI', 'RHQ131', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}",59.01693415218504,205620.5969103414,453.4540736506195,-0.8990484316222664,"['RIDEXPRG', 'LBDBCDSI', 'LBDBSESI', 'RIDAGEMN', 'RHQ160', 'LBDBPBSI', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}",58.08399100538076,191208.35100392165,437.2737712279592,-0.7659413723295874,"['RIDEXPRG', 'RIDAGEMN', 'LBDBCDSI', 'LBDBSESI', 'RHQ160', 'LBDBPBSI', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}",58.08399100538076,191208.35100392165,437.2737712279592,-0.7659413723295874,"['RIDEXPRG', 'RIDAGEMN', 'LBDBCDSI', 'LBDBSESI', 'RHQ160', 'LBDBPBSI', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}",58.08399100538076,191208.35100392165,437.2737712279592,-0.7659413723295874,"['RIDEXPRG', 'RIDAGEMN', 'LBDBCDSI', 'LBDBSESI', 'RHQ160', 'LBDBPBSI', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50}",38.631975332405766,69419.46769786948,263.475744040831,0.3588632012717333,"['RIDEXPRG', 'LBDBCDSI', 'LBDBSESI', 'LBDTHGSI', 'LBDBPBSI', 'RIDAGEMN', 'LBDBMNSI', 'RHQ160', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50}",42.11211559034451,84884.57991087432,291.3495836806264,0.2160321934142117,"['RIDEXPRG', 'LBDTHGSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'RIDAGEMN', 'LBDBMNSI', 'RHQ160', 'RIAGENDR', 'RHQ131']",LBXEST,
RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 100}",45.26624579285245,77996.43064163825,279.2784106257379,0.2796490161599732,"['RIDEXPRG', 'LBDTHGSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'RIDAGEMN', 'LBDBMNSI', 'RHQ160', 'RIAGENDR', 'RHQ131']",LBXEST,
GradientBoostingRegressor,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}",43.546334639761255,113716.2450992309,337.2183937735765,-0.0502481762555697,"['RIDEXPRG', 'LBDTHGSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'RIDAGEMN', 'LBDBMNSI', 'RHQ160', 'RIAGENDR', 'RHQ131']",LBXEST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50}",42.11211559034451,84884.57991087432,291.3495836806264,0.2160321934142117,"['RIDEXPRG', 'LBDTHGSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'RIDAGEMN', 'LBDBMNSI', 'RHQ160', 'RIAGENDR', 'RHQ131']",LBXEST,
LGBMRegressor,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",53.70220565335257,86078.36457986785,293.3911460488674,0.2050067663051981,"['RIDEXPRG', 'LBDTHGSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'RIDAGEMN', 'LBDBMNSI', 'RHQ160', 'RIAGENDR', 'RHQ131']",LBXEST,
CatBoostRegressor,"{'depth': 10, 'iterations': 200, 'learning_rate': 0.05}",41.8849512644421,80557.65182773974,283.8267989949852,0.2559943670168982,"['RIDEXPRG', 'LBDTHGSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'RIDAGEMN', 'LBDBMNSI', 'RHQ160', 'RIAGENDR', 'RHQ131']",LBXEST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}",58.08399100538076,191208.35100392165,437.2737712279592,-0.7659413723295874,"['RIDEXPRG', 'RIDAGEMN', 'LBDBCDSI', 'LBDBSESI', 'RHQ160', 'LBDBPBSI', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",61.94306003516927,13638.506981734836,116.78401852023605,0.7429667679212901,"['RIDAGEMN', 'RIDEXPRG', 'RIAGENDR', 'LBDBMNSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'LBDTHGSI', 'RHQ160']",LBXTST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}",58.27024720736443,198535.46130991456,445.5731828890901,-0.8336123038607632,"['RIDEXPRG', 'LBDBSESI', 'RIDAGEMN', 'LBDBCDSI', 'LBDBPBSI', 'RHQ160', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 200}",51.60159507127783,120937.73108777996,347.76102583207904,-0.1169435941592347,"['RIDEXPRG', 'LBDBSESI', 'RIDAGEMN', 'LBDBCDSI', 'LBDBPBSI', 'RHQ160', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
GradientBoostingRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",57.21423090036349,175036.80286680558,418.3739987939088,-0.6165859401007567,"['RIDEXPRG', 'LBDBSESI', 'RIDAGEMN', 'LBDBCDSI', 'LBDBPBSI', 'RHQ160', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}",58.27024720736443,198535.46130991456,445.5731828890901,-0.8336123038607632,"['RIDEXPRG', 'LBDBSESI', 'RIDAGEMN', 'LBDBCDSI', 'LBDBPBSI', 'RHQ160', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
LGBMRegressor,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",56.329523320728846,95042.7177306539,308.28998966987865,0.1222147646900516,"['RIDEXPRG', 'LBDBSESI', 'RIDAGEMN', 'LBDBCDSI', 'LBDBPBSI', 'RHQ160', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
CatBoostRegressor,"{'depth': 10, 'iterations': 200, 'learning_rate': 0.05}",45.40851678520988,102685.21056202694,320.4453316277629,0.0516310574001062,"['RIDEXPRG', 'LBDBSESI', 'RIDAGEMN', 'LBDBCDSI', 'LBDBPBSI', 'RHQ160', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 20}",56.29921062180092,176920.40527729617,420.6190738391403,-0.6339823111705372,"['RIDEXPRG', 'LBDBSESI', 'RIDAGEMN', 'LBDBCDSI', 'LBDBPBSI', 'RHQ160', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 20}",56.29921062180092,176920.40527729617,420.6190738391403,-0.6339823111705372,"['RIDEXPRG', 'LBDBSESI', 'LBDBCDSI', 'RIDAGEMN', 'LBDBPBSI', 'RHQ160', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 20}",56.29921062180092,176920.40527729617,420.6190738391403,-0.6339823111705372,"['RIDEXPRG', 'LBDBSESI', 'LBDBCDSI', 'RIDAGEMN', 'LBDBPBSI', 'RHQ160', 'LBDTHGSI', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 20}",35.357547443953635,29614.337882222568,172.08816891995383,0.7264911066604429,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",28.456461891522867,2134.266119494559,46.19811813802115,0.1656830525754854,"['RIDEXPRG', 'RIDAGEMN', 'LBDBMNSI', 'LBDBSESI', 'LBDBPBSI', 'LBDBCDSI', 'LBDTHGSI', 'RHQ160', 'RIAGENDR']",LBXSHBG,
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",28.456461891522867,2134.266119494559,46.19811813802115,0.1656830525754854,"['RIDEXPRG', 'RIDAGEMN', 'LBDBMNSI', 'LBDBSESI', 'LBDBPBSI', 'LBDBCDSI', 'LBDTHGSI', 'RHQ160', 'RIAGENDR']",LBXSHBG,
